order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,delivery_distance,weather_condition,traffic_condition,order_timestamp
1477147,337525,Hangawi,Korean,30.75,Weekend,0.0,25,20,5.0,Clear,Light,14:40
1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,0.0,25,23,4.2,Clear,Moderate,16:23
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5.0,23,28,2.3,Rainy,Heavy,1:29
1477334,106968,Blue Ribbon Fried Chicken,American,29.20,Weekend,3.0,25,15,1.7,Clear,Light,17:21
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4.0,25,24,4.2,Clear,Moderate,3:25
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3.0,20,24,2.6,Snowy,Heavy,16:24
1477894,157711,The Meatball Shop,Italian,6.07,Weekend,0.0,28,21,3.3,Clear,Cloudy,10:03
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3.0,33,30,5.3,Cloudy,Light,20:44
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5.0,21,26,1.2,Stormy,Heavy,16:40
1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5.0,29,26,5.3,Clear,Light,2:10
1477895,143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,0.0,34,28,2.4,Stormy,Moderate,17:45
1478437,221206,Empanada Mama (closed),Mexican,8.10,Weekend,5.0,23,22,3.9,Clear,Light,5:46
1476966,129969,Blue Ribbon Fried Chicken,American,24.30,Weekend,5.0,23,17,2.7,Clear,Moderate,17:38
1477449,104548,Pylos,Mediterranean,11.30,Weekend,3.0,24,23,3.9,Cloudy,Moderate,15:46
1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,0.0,23,30,1.4,Cloudy,Light,3:27
1477414,66222,Shake Shack,American,16.20,Weekend,5.0,33,25,4.5,Clear,Moderate,15:58
1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,0.0,30,16,4.3,Stormy,Heavy,21:32
